,acceptance,energy
0,1.9284026105385266e-06,0.225
1,1.157738906758591e-05,0.275
2,3.810875805284333e-05,0.32500000000000007
3,0.00010406638975260767,0.375
4,0.0002375348315006369,0.42500000000000004
5,0.0004660577927396735,0.475
6,0.0008159775489432765,0.525
7,0.001586257200424093,0.5750000000000001
8,0.002500518383878212,0.625
9,0.003373265582373537,0.675
10,0.0048052748979343675,0.7250000000000001
11,0.006062498355221118,0.775
12,0.008160405793334888,0.8250000000000001
13,0.010775441365690908,0.875
14,0.012863056289334996,0.925
15,0.016103963164993393,0.9750000000000001
16,0.02056759113477376,1.025
17,0.022711928131390283,1.0750000000000002
18,0.027293298928976438,1.125
19,0.03308591606477582,1.1750000000000003
20,0.038444553433051414,1.225
21,0.042154507116362996,1.275
22,0.04754657439941144,1.3250000000000002
23,0.050745574458298824,1.375
24,0.0585276337579426,1.4250000000000003
25,0.06104716020253335,1.475
26,0.06847408851361414,1.525
27,0.07408171709337263,1.5750000000000002
28,0.07832623861030506,1.625
29,0.08751757005989023,1.6750000000000003
30,0.09405458739848845,1.725
31,0.09734848718956948,1.775
32,0.1054250609782307,1.8250000000000002
33,0.11084388909322415,1.875
34,0.11064680253422929,1.9250000000000003
35,0.11567863912752302,1.975
36,0.11997446471814963,2.0250000000000004
37,0.12846761978321233,2.075
38,0.14403898015269534,2.125
39,0.13095876966131806,2.175
40,0.1499417385855275,2.225
41,0.13172068142792934,2.2750000000000004
42,0.15371780466319399,2.325
43,0.15260330459536764,2.375
44,0.1594640275420863,2.4250000000000003
45,0.15586608971752808,2.475
46,0.16097127230913366,2.5250000000000004
47,0.15803754138519532,2.575
48,0.16686255895652072,2.625
49,0.1546427165909846,2.6750000000000003
50,0.16398595744243033,2.725
51,0.1540171590009101,2.7750000000000004
52,0.16042904813518874,2.825
53,0.1669866925085202,2.875
54,0.16131040909000155,2.9250000000000003
55,0.15738833798892302,2.975
56,0.14914799618838673,3.0250000000000004
57,0.15706288435178695,3.075
58,0.15474178275070008,3.125
59,0.14947690705119143,3.1750000000000003
60,0.14821041731025325,3.225
61,0.14719602788994152,3.2750000000000004
62,0.13479781465450155,3.325
63,0.14371625212020017,3.375
64,0.1465700047682434,3.4250000000000003
65,0.13210946678061564,3.475
66,0.1332175420279022,3.5250000000000004
67,0.12872955410669817,3.575
68,0.12377383011456891,3.625
69,0.11808544891008738,3.6750000000000003
70,0.12151095284225968,3.725
71,0.11343819919508998,3.7750000000000004
72,0.10833538870802877,3.825
73,0.11308930874967134,3.875
74,0.1007521644250707,3.9250000000000003
75,0.10224146291474147,3.975
76,0.1013380350215243,4.025
77,0.09139176132279277,4.075
78,0.09262323031887998,4.125
79,0.0890695313300826,4.175000000000001
80,0.09210808160416736,4.225
81,0.08482422898755797,4.275
82,0.08035652536158851,4.325
83,0.07155386138446213,4.375
84,0.0705918889175984,4.425000000000001
85,0.07225240943116963,4.475
86,0.06982852932017085,4.525
87,0.06447465309298507,4.575
88,0.062331822852686285,4.625
89,0.057650489568585976,4.675000000000001
90,0.05632205499145178,4.725
91,0.05406704481362847,4.775
92,0.05412793528349151,4.825000000000001
93,0.051399697329764675,4.875
94,0.04725422922961544,4.925000000000001
95,0.04576565192675841,4.975
96,0.046960981189882005,5.025
97,0.039548791476855506,5.075000000000001
98,0.038415355016233964,5.125
99,0.03626650056816135,5.175000000000001
100,0.03618441564681033,5.225
101,0.03383053438407317,5.275
102,0.032574225117616686,5.325000000000001
103,0.033474689710400234,5.375
104,0.027553489081648383,5.425000000000001
105,0.02697695625076734,5.475
106,0.026624274967170715,5.525
107,0.024066344677412047,5.575000000000001
108,0.02466158248951764,5.625
109,0.023147515960027114,5.675000000000001
110,0.021559338138880158,5.725
111,0.020751825398641566,5.775
112,0.019804745463085492,5.825000000000001
113,0.017816998606826694,5.875
114,0.017163931025104558,5.925000000000001
115,0.01643103362404677,5.975
116,0.016252969870947206,6.025
117,0.01510508324864792,6.075000000000001
118,0.014730225293174101,6.125
119,0.014012149071971984,6.175000000000001
120,0.011696885606703166,6.225
121,0.011802586039600155,6.275
122,0.010873890235214513,6.325000000000001
123,0.010701666206199266,6.375
124,0.010580274850835404,6.425000000000001
125,0.010045627130243978,6.475
126,0.008755280026921943,6.525
127,0.008886723057927192,6.575000000000001
128,0.00795199556625182,6.625
129,0.007690493936121568,6.675000000000001
130,0.006884741005217409,6.725
131,0.006400954743682812,6.775
132,0.006442257905668372,6.825000000000001
133,0.00612416023131198,6.875
134,0.005272407323075833,6.925000000000001
135,0.005604741292061455,6.975
136,0.005024286895621431,7.025
137,0.005002386335697323,7.075000000000001
138,0.004544822670998606,7.125
139,0.0038339700343602693,7.175000000000001
140,0.0037045690076528775,7.225
141,0.004038443073065023,7.275
142,0.003806388914642317,7.325000000000001
143,0.0036514702999515406,7.375
144,0.003275049817174214,7.425000000000001
145,0.0029858438598527755,7.475
146,0.0028137513630523705,7.525
147,0.0025801567138982345,7.575000000000001
148,0.0024749021656933624,7.625
149,0.00231524226415187,7.675000000000001
150,0.0020613281671667894,7.725
151,0.002176235581398095,7.775
152,0.0022057182049518283,7.825000000000001
153,0.001962912186708248,7.875
154,0.0018639108897166648,7.925000000000001
155,0.0016767702449723438,7.975
156,0.0016884087640628564,8.025
157,0.001598512151629622,8.075
158,0.00138445495862506,8.125
159,0.0013748668887179928,8.175
160,0.001234364931837627,8.225000000000001
161,0.0011732642459979634,8.275
162,0.001174966712013787,8.325
163,0.0010505271524754822,8.375
164,0.0009027842301367422,8.425
165,0.0008880995434642015,8.475000000000001
